FL-experiment | DEBUG flwr 2024-05-02 12:14:48,800 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-05-02 12:14:48,969 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 12:14:48,971 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-05-02 12:14:48,971 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-05-02 12:14:48,975 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-05-02 12:14:50,061 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 12:14:50,069 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-05-02 12:14:50,069 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-05-02 12:14:50,069 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-05-02 12:14:50,119 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 12:14:50,126 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-05-02 12:14:50,127 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-05-02 12:14:50,128 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-05-02 12:14:51,049 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 12:14:51,051 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-05-02 12:14:51,051 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-05-02 12:14:51,051 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-05-02 12:14:52,229 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 12:14:52,230 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-05-02 12:14:52,230 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-05-02 12:14:52,231 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-05-02 12:14:53,447 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 12:14:53,448 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-05-02 12:14:53,449 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-05-02 12:14:53,452 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-05-02 12:14:53,765 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 12:14:53,768 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-05-02 12:14:53,771 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-05-02 12:14:53,832 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 12:14:53,834 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-05-02 12:14:53,835 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-05-02 12:14:54,072 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 12:14:54,074 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-05-02 12:14:54,078 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-05-02 12:14:54,078 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-05-02 12:14:55,362 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 12:14:55,363 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-05-02 12:14:55,364 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-05-02 12:14:55,365 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-05-02 12:14:55,632 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 12:14:55,665 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-05-02 12:14:55,670 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-05-02 12:14:55,806 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 12:14:55,807 | connection.py:42 | ChannelConnectivity.IDLE
