Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=50, NUM_ROUNDS=10,
time: 8111.9769 seconds | Experiment
time: 1068.7089 seconds | Round=1
time: 248.22369999999995 seconds | deploying contract
time: 72.24492 seconds | Training client=43
time: 69.23332 seconds | Training client=39
time: 67.48707999999999 seconds | Training client=15
time: 68.33574 seconds | Training client=45
time: 66.2789 seconds | Training client=21
time: 60.60834 seconds | Training client=10
time: 70.78009 seconds | Training client=33
time: 70.64592999999999 seconds | Training client=16
time: 69.88417 seconds | Training client=30
time: 65.70105 seconds | Training client=14
time: 70.94685 seconds | Training client=32
time: 76.44811 seconds | Training client=0
time: 70.32771999999999 seconds | Training client=5
time: 77.71451 seconds | Training client=47
time: 61.9609 seconds | Training client=38
time: 72.81558999999999 seconds | Training client=44
time: 68.29124 seconds | Training client=8
time: 76.27631 seconds | Training client=19
time: 64.55479 seconds | Training client=26
time: 68.10713 seconds | Training client=22
time: 82.26755999999999 seconds | Training client=7
time: 63.02649 seconds | Training client=31
time: 75.0981 seconds | Training client=1
time: 74.24750999999999 seconds | Training client=28
time: 67.85844 seconds | Training client=35
time: 63.82852 seconds | Training client=25
time: 67.95084000000001 seconds | Training client=20
time: 70.11685 seconds | Training client=41
time: 75.92825 seconds | Training client=40
time: 69.1837 seconds | Training client=13
