Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=2, NUM_ROUNDS=1,
time: 75.27817999999998 seconds | Training client=45
time: 70.81424 seconds | Training client=28
time: 72.20972 seconds | Training client=2
time: 64.00298 seconds | Training client=26
time: 63.99727999999999 seconds | Training client=33
time: 70.7672 seconds | Training client=11
time: 62.65748000000001 seconds | Training client=30
time: 72.80094000000001 seconds | Training client=0
time: 70.46688 seconds | Training client=36
time: 77.31208000000001 seconds | Training client=8
time: 65.2276 seconds | Training client=17
time: 65.04178 seconds | Training client=4
time: 51.85992 seconds | Training client=20
time: 76.46372 seconds | Training client=21
time: 68.07 seconds | Training client=7
time: 76.10826 seconds | Training client=24
time: 75.0616 seconds | Training client=14
time: 67.43186 seconds | Training client=27
time: 71.34101999999999 seconds | Training client=42
time: 82.53036 seconds | Training client=43
time: 74.7792 seconds | Training client=49
time: 55.30726 seconds | Training client=37
time: 80.91958 seconds | Training client=40
time: 63.1021 seconds | Training client=5
time: 81.47594000000001 seconds | Training client=3
time: 77.74774 seconds | Training client=39
time: 69.42316 seconds | Training client=48
time: 73.24995999999999 seconds | Training client=41
time: 69.00796 seconds | Training client=25
time: 76.9854 seconds | Training client=22
time: 77.65857999999999 seconds | Training client=38
time: 82.49734000000001 seconds | Training client=46
time: 73.2863 seconds | Training client=12
time: 78.32664 seconds | Training client=23
time: 68.01842 seconds | Training client=16
time: 73.12502 seconds | Training client=35
time: 83.39535999999998 seconds | Training client=34
time: 72.5213 seconds | Training client=18
time: 63.417799999999986 seconds | Training client=6
time: 68.37511999999998 seconds | Training client=29
time: 75.71484000000001 seconds | Training client=44
time: 78.164 seconds | Training client=47
time: 76.54488 seconds | Training client=10
time: 86.55854000000001 seconds | Training client=13
time: 78.285 seconds | Training client=32
time: 68.50948 seconds | Training client=9
time: 62.60813999999999 seconds | Training client=15
time: 20.883 seconds | Aggregating round=1
time: 310.1975999999999 seconds | Round=2
time: 20.5964 seconds | Aggregating round=2
time: 296.0259 seconds | Round=3
time: 19.721299999999996 seconds | Aggregating round=3
time: 279.39489999999995 seconds | Round=4
time: 18.920099999999998 seconds | Aggregating round=4
time: 268.29620000000006 seconds | Round=5
time: 18.435 seconds | Aggregating round=5
time: 1479.2275168625 seconds | FL

Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=50, NUM_ROUNDS=10,
time: 2557.9139 seconds | Experiment
time: 327.54740000000004 seconds | Round=1
time: 69.37715 seconds | Training client=31
time: 62.57608000000001 seconds | Training client=43
time: 66.52973 seconds | Training client=27
time: 61.224970000000006 seconds | Training client=42
time: 56.02991999999999 seconds | Training client=8
time: 56.133379999999995 seconds | Training client=38
time: 53.55671 seconds | Training client=21
time: 55.99995 seconds | Training client=48
time: 48.136039999999994 seconds | Training client=30
time: 49.639619999999994 seconds | Training client=45
time: 52.81143 seconds | Training client=29
time: 69.04204 seconds | Training client=2
time: 76.99192 seconds | Training client=24
time: 68.68701000000001 seconds | Training client=12
time: 57.02127 seconds | Training client=17
time: 68.47430999999999 seconds | Training client=6
time: 56.85884 seconds | Training client=47
time: 67.34487 seconds | Training client=3
time: 66.20306 seconds | Training client=10
time: 45.54463999999999 seconds | Training client=28
time: 64.44296 seconds | Training client=26
time: 64.42218999999999 seconds | Training client=46
time: 53.62498000000001 seconds | Training client=4
time: 50.15561 seconds | Training client=35
time: 58.24264 seconds | Training client=16
time: 69.16455 seconds | Training client=36
time: 61.764540000000004 seconds | Training client=0
time: 50.9094 seconds | Training client=11
time: 56.432709999999986 seconds | Training client=33
time: 72.50993999999999 seconds | Training client=14
time: 74.79148 seconds | Training client=40
time: 50.84578 seconds | Training client=5
time: 58.50137000000001 seconds | Training client=37
time: 74.54628 seconds | Training client=19
time: 66.63259 seconds | Training client=18
time: 59.1241 seconds | Training client=7
time: 68.35965 seconds | Training client=32
time: 56.49804 seconds | Training client=44
time: 62.18809 seconds | Training client=23
time: 52.71669999999999 seconds | Training client=9
time: 50.75607 seconds | Training client=39
time: 55.865480000000005 seconds | Training client=22
time: 51.23386000000001 seconds | Training client=20
time: 62.78533 seconds | Training client=1
time: 50.632600000000004 seconds | Training client=13
time: 67.83658 seconds | Training client=15
time: 67.32192 seconds | Training client=41
time: 79.31676999999999 seconds | Training client=49
time: 75.36705 seconds | Training client=34
time: 48.193769999999994 seconds | Training client=25
time: 20.312199999999997 seconds | Aggregating round=1
time: 297.5704 seconds | Round=2
time: 19.2154 seconds | Aggregating round=2
time: 280.3983999999999 seconds | Round=3
time: 18.8004 seconds | Aggregating round=3
time: 264.54179999999997 seconds | Round=4
time: 18.1025 seconds | Aggregating round=4
time: 257.5322 seconds | Round=5
time: 18.0837 seconds | Aggregating round=5
time: 237.3983 seconds | Round=6
time: 17.8094 seconds | Aggregating round=6
time: 228.42979999999997 seconds | Round=7
time: 17.1834 seconds | Aggregating round=7
time: 226.7953 seconds | Round=8
time: 17.3786 seconds | Aggregating round=8
time: 218.9233 seconds | Round=9
time: 16.8913 seconds | Aggregating round=9
time: 211.61200000000002 seconds | Round=10
time: 16.7371 seconds | Aggregating round=10
time: 2532.9995442502 seconds | FL

