FL-experiment | INFO flwr 2024-03-07 04:01:05,167 | client.py:144 | Done sending updated weights to the perun node (client=5)
FL-experiment | INFO flwr 2024-03-07 04:01:05,167 | client.py:147 | Done Training client=5
FL-experiment | DEBUG flwr 2024-03-07 04:01:05,220 | client.py:137 | File: storage/updated_weights_6_fe4c397b-7a05-4cbb-bc68-c8749ad5b93d.pkl IPFS file hash: Qme8hq3rCTYBb6MGWycS2HB6w8Ddt38zD2dzZk2cTX5KRZ
FL-experiment | INFO flwr 2024-03-07 04:01:05,220 | client.py:139 | Start sending updated weights to the perun node (client=6)
FL-experiment | INFO flwr 2024-03-07 04:01:05,220 | client.py:142 | PERUN REQUEST: Setting weight client=6, REQ=set,peer_10,1,1,10,0,0
FL-experiment | INFO flwr 2024-03-07 04:01:05,235 | client.py:144 | Done sending updated weights to the perun node (client=6)
FL-experiment | INFO flwr 2024-03-07 04:01:05,235 | client.py:147 | Done Training client=6
FL-experiment | DEBUG flwr 2024-03-07 04:01:05,296 | client.py:137 | File: storage/updated_weights_4_39b45fd1-c7f8-4d5f-bfd6-1a03ee16f61a.pkl IPFS file hash: QmXEzBkqMvAcN4uk1BRJr26U8peAXGwfpA4WNrWteFso7P
FL-experiment | INFO flwr 2024-03-07 04:01:05,296 | client.py:139 | Start sending updated weights to the perun node (client=4)
FL-experiment | INFO flwr 2024-03-07 04:01:05,296 | client.py:142 | PERUN REQUEST: Setting weight client=4, REQ=set,peer_10,1,1,10,0,0
FL-experiment | INFO flwr 2024-03-07 04:01:05,302 | client.py:144 | Done sending updated weights to the perun node (client=4)
FL-experiment | INFO flwr 2024-03-07 04:01:05,302 | client.py:147 | Done Training client=4
FL-experiment | DEBUG flwr 2024-03-07 04:01:05,420 | client.py:137 | File: storage/updated_weights_2_5b328633-1e8d-4697-bec0-b6a35c99a16a.pkl IPFS file hash: QmacJf3hp5bRn7bnuifM8HNxBjYEbBouGsR4XQ73fH3ouh
FL-experiment | INFO flwr 2024-03-07 04:01:05,420 | client.py:139 | Start sending updated weights to the perun node (client=2)
FL-experiment | INFO flwr 2024-03-07 04:01:05,420 | client.py:142 | PERUN REQUEST: Setting weight client=2, REQ=set,peer_10,1,1,10,0,0
FL-experiment | INFO flwr 2024-03-07 04:01:05,429 | client.py:144 | Done sending updated weights to the perun node (client=2)
FL-experiment | INFO flwr 2024-03-07 04:01:05,429 | client.py:147 | Done Training client=2
FL-experiment | DEBUG flwr 2024-03-07 04:01:05,430 | server.py:236 | fit_round 1 received 10 results and 0 failures
FL-experiment | INFO flwr 2024-03-07 04:01:05,430 | server.py:52 | Start Aggregating round=1
FL-experiment | WARNING flwr 2024-03-07 04:01:05,439 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
FL-experiment | INFO flwr 2024-03-07 04:01:05,439 | server.py:58 | Start saving aggregated model to storage (round=1)
FL-experiment | DEBUG flwr 2024-03-07 04:01:05,456 | server.py:67 | File: storage/aggregated_model_d8e2ddcc-6a37-4918-8652-38e40ff004ec.pkl IPFS file hash: QmZ3U99dd6DG6pn9gWkFHnoKABBKwwYHoidXwNqtSKh5mr
FL-experiment | INFO flwr 2024-03-07 04:01:05,456 | server.py:70 | Done saving aggregated model to storage (round=1)
FL-experiment | DEBUG flwr 2024-03-07 04:01:05,456 | server.py:173 | evaluate_round 1: strategy sampled 10 clients (out of 10)
FL-experiment | DEBUG flwr 2024-03-07 04:01:09,395 | server.py:187 | evaluate_round 1 received 10 results and 0 failures
