FL-experiment | INFO flwr 2024-03-04 13:33:16,583 | client.py:147 | Done Training client=5
FL-experiment | INFO flwr 2024-03-04 13:33:16,669 | client.py:139 | Start sending updated weights to the perun node (client=1)
FL-experiment | INFO flwr 2024-03-04 13:33:16,669 | client.py:147 | Done Training client=1
FL-experiment | INFO flwr 2024-03-04 13:33:16,935 | client.py:139 | Start sending updated weights to the perun node (client=2)
FL-experiment | INFO flwr 2024-03-04 13:33:16,935 | client.py:147 | Done Training client=2
FL-experiment | INFO flwr 2024-03-04 13:33:16,966 | client.py:139 | Start sending updated weights to the perun node (client=9)
FL-experiment | INFO flwr 2024-03-04 13:33:16,966 | client.py:147 | Done Training client=9
FL-experiment | INFO flwr 2024-03-04 13:33:17,046 | client.py:139 | Start sending updated weights to the perun node (client=4)
FL-experiment | INFO flwr 2024-03-04 13:33:17,046 | client.py:139 | Start sending updated weights to the perun node (client=7)
FL-experiment | INFO flwr 2024-03-04 13:33:17,046 | client.py:147 | Done Training client=4
FL-experiment | INFO flwr 2024-03-04 13:33:17,046 | client.py:147 | Done Training client=7
FL-experiment | INFO flwr 2024-03-04 13:33:17,235 | client.py:139 | Start sending updated weights to the perun node (client=3)
FL-experiment | INFO flwr 2024-03-04 13:33:17,235 | client.py:147 | Done Training client=3
FL-experiment | INFO flwr 2024-03-04 13:33:17,236 | client.py:139 | Start sending updated weights to the perun node (client=8)
FL-experiment | INFO flwr 2024-03-04 13:33:17,236 | client.py:147 | Done Training client=8
FL-experiment | INFO flwr 2024-03-04 13:33:17,305 | client.py:139 | Start sending updated weights to the perun node (client=6)
FL-experiment | INFO flwr 2024-03-04 13:33:17,305 | client.py:147 | Done Training client=6
FL-experiment | DEBUG flwr 2024-03-04 13:33:17,306 | server.py:236 | fit_round 3 received 10 results and 0 failures
FL-experiment | INFO flwr 2024-03-04 13:33:17,306 | server.py:52 | Start Aggregating round=3
FL-experiment | DEBUG flwr 2024-03-04 13:33:17,316 | server.py:173 | evaluate_round 3: strategy sampled 10 clients (out of 10)
FL-experiment | DEBUG flwr 2024-03-04 13:33:20,828 | server.py:187 | evaluate_round 3 received 10 results and 0 failures
FL-experiment | INFO flwr 2024-03-04 13:33:20,828 | server.py:77 | Start evaluating fit round=3
FL-experiment | INFO flwr 2024-03-04 13:33:20,828 | server.py:79 | Done Evaluating fit round=3
FL-experiment | DEBUG flwr 2024-03-04 13:33:20,828 | server.py:80 | Round: 3, Aggregated accuracy: {'accuracy': 0.3912}, Aggregated loss: 526.0446044921875, IPFS hash: storage/aggregated_model_7c743a6d-22b9-4be4-8778-bc802d7f5651.pkl
FL-experiment | INFO flwr 2024-03-04 13:33:20,828 | server.py:95 | Done Aggregating round=3
FL-experiment | INFO flwr 2024-03-04 13:33:20,828 | server.py:96 | Done Round=3
FL-experiment | INFO flwr 2024-03-04 13:33:20,828 | server.py:153 | FL finished in 162.8448065
FL-experiment | INFO flwr 2024-03-04 13:33:20,829 | app.py:226 | app_fit: losses_distributed [(1, 718.0658508300781), (2, 596.5643859863281), (3, 526.0446044921875)]
FL-experiment | INFO flwr 2024-03-04 13:33:20,829 | app.py:227 | app_fit: metrics_distributed_fit {}
FL-experiment | INFO flwr 2024-03-04 13:33:20,829 | app.py:228 | app_fit: metrics_distributed {'accuracy': [(1, 0.2156), (2, 0.31548), (3, 0.3912)]}
FL-experiment | INFO flwr 2024-03-04 13:33:20,829 | app.py:229 | app_fit: losses_centralized []
FL-experiment | INFO flwr 2024-03-04 13:33:20,829 | app.py:230 | app_fit: metrics_centralized {}
FL-experiment | DEBUG flwr 2024-03-04 13:33:20,831 | connection.py:141 | gRPC channel closed
FL-experiment | INFO flwr 2024-03-04 13:33:20,832 | app.py:304 | Disconnect and shut down
FL-experiment | DEBUG flwr 2024-03-04 13:33:20,832 | connection.py:141 | gRPC channel closed
FL-experiment | INFO flwr 2024-03-04 13:33:20,832 | app.py:304 | Disconnect and shut down
FL-experiment | DEBUG flwr 2024-03-04 13:33:20,834 | connection.py:141 | gRPC channel closed
FL-experiment | INFO flwr 2024-03-04 13:33:20,834 | app.py:304 | Disconnect and shut down
FL-experiment | DEBUG flwr 2024-03-04 13:33:20,835 | connection.py:141 | gRPC channel closed
FL-experiment | INFO flwr 2024-03-04 13:33:20,835 | app.py:304 | Disconnect and shut down
FL-experiment | DEBUG flwr 2024-03-04 13:33:20,835 | connection.py:141 | gRPC channel closed
FL-experiment | DEBUG flwr 2024-03-04 13:33:20,835 | connection.py:141 | gRPC channel closed
FL-experiment | INFO flwr 2024-03-04 13:33:20,835 | app.py:304 | Disconnect and shut down
FL-experiment | INFO flwr 2024-03-04 13:33:20,835 | app.py:304 | Disconnect and shut down
FL-experiment | DEBUG flwr 2024-03-04 13:33:20,836 | connection.py:141 | gRPC channel closed
FL-experiment | INFO flwr 2024-03-04 13:33:20,836 | app.py:304 | Disconnect and shut down
FL-experiment | DEBUG flwr 2024-03-04 13:33:20,842 | connection.py:141 | gRPC channel closed
FL-experiment | INFO flwr 2024-03-04 13:33:20,842 | app.py:304 | Disconnect and shut down
FL-experiment | DEBUG flwr 2024-03-04 13:33:20,844 | connection.py:141 | gRPC channel closed
FL-experiment | INFO flwr 2024-03-04 13:33:20,844 | app.py:304 | Disconnect and shut down
FL-experiment | DEBUG flwr 2024-03-04 13:33:20,844 | connection.py:141 | gRPC channel closed
FL-experiment | INFO flwr 2024-03-04 13:33:20,844 | app.py:304 | Disconnect and shut down
FL-experiment | INFO flwr 2024-03-04 13:33:21,621 | main.py:54 | Done Experiment
